ControllerTime,Controller,PlantTime,Plant
0.001183871,0,0.001077,0
0.0021295,0,0.00205113,0
0.003135352,0,0.00305013,0
0.004123815,0,0.004053797,0
0.005127167,0,0.005049741,0
0.006124889,0,0.006048889,0
0.007125667,0,0.007048723,0
0.008118389,0,0.008046149000000001,0
0.009119851999999999,0,0.009041797000000001,0
0.010115296,0,0.010050445,0
0.011119408,0,0.011041945,0
0.012115056,0,0.01204926,0
0.013124074,0,0.013047167,0
0.014115167,0,0.014045834,0
0.015116019,0,0.015048297,0
0.016113482,0,0.016045537,0
0.017121574,0,0.017048593,0
0.018114796,0,0.018044704,0
0.019114222,0,0.019049315,0
0.020118037,0,0.02004526,0
0.021123,0,0.021047834,0
0.022117704,0,0.022044815,0
0.023118889,0,0.023048482,0
0.024111648,0,0.024044112,0
0.025116556,0,0.025048352,0
0.026119371,0,0.026042797,0
0.027115574,0,0.027044241,0
0.028117648,0,0.028048649,0
0.029114926,0,0.029043389,0
0.0301195,0,0.030041926,0
0.031118463,0,0.031044204,0
0.032116871,0,0.032046019,0
0.033117815,0,0.033047408,0
0.034114648,0,0.034042593,0
0.035116852,0,0.03504763,0
0.036119519,0,0.036047482,0
0.037115852,0,0.037045056,0
0.038118685,0,0.038045723,0
0.039119333,0,0.039043426,0
0.040115352,0,0.040042408,0
0.041120056,0,0.041046112,0
0.042115315,0,0.042045112,0
0.043118833,0,0.043048963,0
0.044121482,0,0.044043408,0
0.045117833,0,0.045046167,0
0.046118945,0,0.046044537,0
0.047114371,0,0.047046334,0
0.048118296,0,0.048044297,0
0.049117611,0,0.049044649,0
0.050114778,0,0.0500475,0
0.051117315,0,0.051044963,0
0.052114408,0,0.052044056,0
0.053117982,0,0.05304363,0
0.054117037,0,0.054047241,0
0.055112871,0,0.055045389,0
0.056116389,0,0.056044556,0
0.057117704,0,0.057044537,0
0.058113741,0,0.058045686,0
0.059117426,0,0.059048093,0
0.060113019,0,0.060043426,0
0.061117296,0,0.061044556,0
0.062117408,0,0.062046037,0
0.063114871,0,0.063046241,0
0.064116593,0,0.06404575999999999,0
0.065116093,0,0.06504544499999999,0
0.06611444499999999,0,0.066044037,0
0.06711698200000001,0,0.067044389,0
0.06811663,0,0.06804774099999999,0
0.069115315,0,0.069044537,0
0.070117185,0,0.070048371,0
0.071113222,0,0.07104355599999999,0
0.072116333,0,0.072045445,0
0.073116759,0,0.07304526,0
0.074113445,0,0.074043963,0
0.075118278,0,0.07504522299999999,0
0.076117315,0,0.076048408,0
0.07711401900000001,0,0.077045093,0
0.07811681500000001,0,0.07804476,0
0.079118037,0,0.079048093,0
0.08011394500000001,0,0.0800445,0
0.08111755599999999,0,0.081048889,0
0.082113778,0,0.082042908,0
0.083116093,0,0.08304481499999999,0
0.08411629599999999,0,0.084046149,0
0.085112852,0,0.08504566700000001,0
0.08611687,0,0.086043945,0
0.087116982,0,0.087046686,0
0.08811303700000001,0,0.088045797,0
0.089116722,0,0.08904413,0
0.090118,0,0.09004807400000001,0
0.091115037,0,0.09104276,0
0.092120352,0,0.092041315,0
0.093117982,0,0.09304159300000001,0
0.094116148,0,0.094043686,0
0.095115185,0,0.09504918599999999,0
0.09611942599999999,0,0.096048112,0
0.097127463,0,0.097047815,0
0.09812463,0,0.098051315,0
0.099121741,0,0.099050519,0
0.100120982,0,0.100048186,0
0.10112013,0,0.101048593,0
0.102119056,0,0.102047445,0
0.103119852,0,0.10304613,0
0.104123593,0,0.10404713,0
0.105123296,0,0.105044871,0
0.106118037,0,0.106045223,0
0.107120278,0,0.107050871,0
0.108119908,0,0.108050926,0
0.109122685,0,0.109044408,0
0.110123908,0,0.110052315,0
0.111125611,0,0.111043019,0
0.112118463,0,0.112046963,0
0.113125556,0,0.11304526,0
0.114118019,0,0.114044352,0
0.115121593,0,0.115046519,0
0.116122759,0,0.116045352,0
0.117116593,0,0.117043926,0
0.11812387,0,0.118041889,0
0.119113889,0,0.119040889,0
0.12011537,0,0.120042741,0
0.121114111,0,0.121041834,0
0.122112945,0,0.12204226,0
0.123114704,0,0.123046556,0
0.124111259,0,0.124052,0
0.125118482,0,0.125048426,0
0.126125778,0,0.12604876,0
0.127122204,0,0.127049037,0
0.128119945,0,0.128048463,0
0.12912287,0,0.129045315,0
0.130118722,0,0.130047019,0
0.131116611,0,0.131044963,0
0.132118074,0,0.132048463,0
0.133117704,0,0.133042963,0
0.134116778,0,0.134044704,0
0.135117759,0,0.135043519,0
0.136115148,0,0.13604863,0
0.13712687,0,0.137049741,0
0.138123315,0,0.138047297,0
0.13912187,0,0.139048297,0
0.140118574,0,0.14004813,0
0.141120111,0,0.14104826,0
0.142120352,0,0.142051797,0
0.143122445,0,0.143048389,0
0.144124482,0,0.144048426,0
0.145120463,0,0.145048,0
0.146120074,0,0.14604526,0
0.147119445,0,0.147049741,0
0.148120167,0,0.148046574,0
0.149123222,0,0.149045834,0
0.150118704,0,0.150043945,0
0.151122241,0,0.15104526,0
0.152123185,0,0.152049093,0
0.153117315,0,0.153045889,0
0.154121,0,0.154045871,0
0.155122407,0,0.155044611,0
0.156116519,0,0.156049482,0
0.157115796,0,0.157044556,0
0.158119074,0,0.158042519,0
0.159116019,0,0.15904913,0
0.160119407,0,0.160044945,0
0.161121445,0,0.161043611,0
0.162119537,0,0.162041889,0
0.163112945,0,0.163042278,0
0.164112519,0,0.164041926,0
0.16511563,0,0.165041389,0
0.166113907,0,0.166041574,0
0.16711213,0,0.167045334,0
0.168114352,0,0.168048574,0
0.169124759,0,0.169047167,0
