ControllerTime,Controller,PlantTime,Plant
3.764092498,2.74731673799376e-08,3.764085571,0.2200018441387555
3.765093479,2.684681124247057e-08,3.765086497,0.2200018429706642
3.766092701,2.623448701576732e-08,3.766085905,0.2200018418297164
3.767093683,2.563588559415005e-08,3.767086479,0.2200018407152919
3.768093553,2.505070478779622e-08,3.768086775,0.2200018396267843
3.769094072,2.447864877934706e-08,3.769085294,0.2200018385636011
3.770093942,2.391942822354518e-08,3.770084238,0.2200018375251629
3.771096072,2.337276001550074e-08,3.771089608,0.2200018365109033
3.77209559,2.283836717373214e-08,3.77208459,0.2200018355202688
3.77309809,2.231597874405039e-08,3.773084868,0.2200018345527182
3.774095405,2.180532972222667e-08,3.774086627,0.2200018336077226
3.775093201,2.130616074374354e-08,3.775083479,0.2200018326847648
3.776093701,2.081821814430434e-08,3.776086053,0.2200018317833396
3.777094757,2.034125377448423e-08,3.777087442,0.2200018309029529
3.778093387,1.987502475714035e-08,3.778085923,0.2200018300431218
3.779095405,1.941929360881496e-08,3.779085034,0.2200018292033744
3.780097942,1.897382802591898e-08,3.780086479,0.2200018283832492
3.781095887,1.853840069896076e-08,3.781085571,0.2200018275822954
3.78209285,1.811278923528257e-08,3.782083905,0.2200018268000723
3.783093683,1.769677609701144e-08,3.783086516,0.220001826036149
3.784092442,1.729014855271893e-08,3.784085646,0.2200018252901044
3.78509309,1.689269847486497e-08,3.78508409,0.2200018245615271
3.786093516,1.650422232987236e-08,3.786084201,0.2200018238500148
3.787094813,1.612452084360453e-08,3.787082368,0.2200018231551744
3.788093998,1.575339920407963e-08,3.788082701,0.2200018224766216
3.789092201,1.53906669199895e-08,3.789083627,0.2200018218139809
3.790091442,1.50361375326686e-08,3.790082368,0.2200018211668852
3.791091961,1.468962869410222e-08,3.791083646,0.2200018205349759
3.792091868,1.435096207807919e-08,3.79208509,0.2200018199179024
3.793092313,1.401996330607735e-08,3.79309046,0.220001819315322
3.794093035,1.369646163657739e-08,3.794087849,0.2200018187268999
3.795095368,1.338029018837486e-08,3.795088646,0.2200018181523088
3.796095313,1.307128565029996e-08,3.796085646,0.2200018175912288
3.797096572,1.276928843961549e-08,3.79708709,0.2200018170433475
3.798096183,1.247414235247698e-08,3.798085997,0.2200018165083593
3.799094535,1.218569458491209e-08,3.799084108,0.2200018159859657
3.800093942,1.190379567426549e-08,3.800082979,0.2200018154758749
3.801093405,1.16282996180201e-08,3.801081942,0.220001814977802
3.802092664,1.135906340453717e-08,3.802083886,0.2200018144914683
3.803092313,1.109594717442876e-08,3.80308359,0.2200018140166014
3.804092553,1.083881428917424e-08,3.804083608,0.2200018135529354
3.805092813,1.058753098238154e-08,3.805083942,0.2200018131002102
3.806092294,1.034196654718033e-08,3.806085331,0.2200018126581718
3.807094238,1.010199301194406e-08,3.80708796,0.2200018122265718
3.808095942,9.867485266435912e-09,3.808087257,0.2200018118051677
3.809094535,9.638320931362137e-09,3.809086034,0.2200018113937224
3.810092683,9.414380410851567e-09,3.810085794,0.2200018109920042
3.811095183,9.195546611595156e-09,3.81108522,0.2200018105997867
3.812092516,8.981705108089301e-09,3.812084386,0.2200018102168487
3.813092942,8.772744047371846e-09,3.813083738,0.2200018098429741
3.814093294,8.568553900085872e-09,3.814084479,0.2200018094779516
3.815092331,8.369027654436587e-09,3.815088071,0.2200018091215749
