thread1,thread2
0.001205592,0.001200241
0.002183444,0.002202574
0.003176629,0.003201518
0.0041765,0.004201148
0.005176203,0.005201204
0.006176333,0.006201537
0.007176037,0.007201315
0.008176091999999999,0.008201129999999999
0.009176426,0.009201055
0.010176481,0.010201611
0.011176129,0.011201389
0.01217624,0.012201315
0.013176481,0.013201
0.014175981,0.014201444
0.015176148,0.015201111
0.01617624,0.016201111
0.017176129,0.017200944
0.018176352,0.018201352
0.019176111,0.019201111
0.020175907,0.020200981
0.0211765,0.021201093
0.02217587,0.02220163
0.023175981,0.023200963
0.024176037,0.024200944
0.025175926,0.025201148
0.026176555,0.026201204
0.027176333,0.027201111
0.028175926,0.028201074
0.029176463,0.029200981
0.030176037,0.030201518
0.031176444,0.031201055
0.03217637,0.032201259
0.033176352,0.033201167
0.034176407,0.034201315
0.035176426,0.035201407
0.036176222,0.036201574
0.037176426,0.03720113
0.038176444,0.038201444
0.039176426,0.039201241
0.040176722,0.040201907
0.041176666,0.0412015
0.042176389,0.042201204
0.04317637,0.043201241
0.044176555,0.044201333
0.045176592,0.045201315
0.046176555,0.046201333
0.047176518,0.047201333
0.048176407,0.048201296
0.049176351,0.049201018
0.050176277,0.050201296
0.051176463,0.051201555
0.052176722,0.052201389
0.053176518,0.053201204
0.0541765,0.054201592
0.055176611,0.055201167
0.056176296,0.056201333
0.057176666,0.05720137
0.058176555,0.058201426
0.059176555,0.059201167
0.060176537,0.060201148
0.061176555,0.061201259
0.062176611,0.062201389
0.06317666600000001,0.063201481
0.064176518,0.064201759
0.065176426,0.065201167
0.066176074,0.066201537
0.06717659199999999,0.06720135200000001
0.068176759,0.068201333
0.0691765,0.069201074
0.07017638900000001,0.07020113
0.071176685,0.07120122199999999
0.072176537,0.072201241
0.07317644399999999,0.073201296
0.074176296,0.074201278
0.075176426,0.075201092
0.07617636999999999,0.076201092
0.077176537,0.077201167
0.07817637,0.07820149999999999
0.079176685,0.079201333
0.08017648099999999,0.08020124100000001
0.081176796,0.08120136999999999
0.082176314,0.082201407
0.083176574,0.08320287
0.08417622199999999,0.08420109200000001
0.085176666,0.085201
0.086175666,0.086201055
0.087175481,0.08720109199999999
0.088176222,0.088201815
0.089175296,0.08920170400000001
0.09017792600000001,0.09020163
0.091177092,0.091201333
0.092176277,0.09220125899999999
0.0931765,0.093201389
0.094176648,0.094201278
0.095176555,0.09520161100000001
0.09617640700000001,0.0962015
0.097176685,0.09720137
0.098176518,0.09820137
0.099176351,0.099201704
0.100176592,0.100201426
0.101176555,0.101201592
0.102176426,0.102201444
0.103176222,0.103201204
0.10417637,0.104201352
0.105176555,0.105201722
0.106176518,0.106201389
0.107176629,0.107201259
0.108176518,0.108201389
0.109176407,0.109201352
0.110176388,0.110201463
0.111176629,0.11120137
0.112176426,0.112201129
0.113176463,0.113201444
0.114176537,0.114201167
0.115176407,0.115201259
0.116176333,0.116201333
0.117176574,0.117201278
0.118176481,0.118201315
0.119176351,0.119201315
0.120176351,0.120201389
0.1211765,0.121201333
0.122176537,0.122201278
0.12317637,0.123201167
0.124176277,0.124201278
0.1251765,0.125201333
0.126176407,0.126201222
0.127176518,0.127201537
0.128176426,0.12820137
0.129176426,0.12920137
0.130176074,0.130201129
0.13117674,0.131201389
0.132176426,0.132201278
0.133176277,0.133201426
0.134176444,0.134201241
0.135176555,0.135201389
0.13617637,0.136201296
0.137176611,0.137201185
0.138176222,0.138201389
0.139176259,0.139201537
0.140176481,0.140201463
0.141176703,0.1412015
0.142176314,0.142201389
0.143176518,0.143201204
0.144176833,0.144201426
0.145176166,0.145201407
0.146176796,0.146201463
