thread1,thread2
0.001361093,0.001779277
0.002351149,0.002779203
0.003339686,0.00378637
0.004338723,0.004785462
0.005343408,0.005784925
0.006342871,0.006785518
0.007342815,0.007786685
0.008343315,0.008785703000000001
0.009343426,0.009785240000000001
0.010344038,0.010785037
0.011343538,0.011785851
0.012342834,0.012786444
0.013343575,0.013786666
0.01434376,0.014785018
0.015344426,0.015786814
0.016343667,0.016787388
0.017343926,0.017785777
0.018343797,0.018785388
0.019343871,0.01978537
0.02034363,0.020784759
0.021344223,0.021784555
0.0223435,0.022785166
0.023343593,0.023785259
0.024343908,0.024785
0.025343926,0.025784555
0.026343797,0.02678474
0.02734363,0.027785481
0.028343704,0.028784018
0.029343945,0.029784222
0.030343,0.030784777
0.031343463,0.031786796
0.032343463,0.032784703
0.033346,0.033784833
0.034343241,0.034785185
0.035343278,0.035784537
0.036343723,0.036784981
0.037343352,0.037784981
0.038342834,0.038785981
0.039343852,0.039785537
0.040343778,0.040784055
0.041343667,0.041784722
0.042343241,0.042784962
0.043343445,0.043785629
0.044344167,0.044785296
0.045344,0.045785296
0.046343649,0.046785092
0.04734376,0.047786055
0.048343389,0.04878387
0.049343871,0.049784703
0.050342982,0.050785018
0.051343075,0.051785722
0.052343408,0.052785851
0.053343797,0.053784759
0.054343797,0.054785166
0.055343112,0.055784518
0.056343778,0.056784944
0.057343149,0.057785037
0.058343408,0.058784703
0.059343426,0.059784833
0.060343519,0.060784592
0.061343797,0.061784648
0.062343315,0.06278549899999999
0.06334353700000001,0.063785888
0.064343926,0.06478542499999999
0.06534398199999999,0.06578523999999999
0.066343556,0.066784814
0.067344167,0.067784055
0.068343537,0.068784703
0.06934290799999999,0.069784944
0.070343297,0.070785425
0.071343612,0.07178551800000001
0.072343482,0.07278637
0.073343408,0.07378601799999999
0.074344612,0.074785685
0.075343593,0.075784962
0.076344075,0.07678555500000001
0.07734337099999999,0.077784907
0.07834448199999999,0.07878555499999999
0.079343926,0.079785962
0.080343426,0.08078635100000001
0.081344019,0.081785277
0.082343852,0.08278672199999999
0.08334340799999999,0.083786388
0.084344297,0.08478572199999999
0.085344241,0.085785296
0.086343797,0.086786055
0.08734394500000001,0.087784925
0.088343982,0.08878524
0.089343667,0.089786166
0.090344334,0.090785425
0.091343704,0.091785277
0.092343723,0.092784851
0.093343908,0.09378518499999999
0.094343408,0.094785259
0.095344,0.095784536
0.09634376,0.09678505499999999
0.097343556,0.097785222
0.09834372299999999,0.098785333
0.099343371,0.09978466599999999
0.100343667,0.100786536
0.101343149,0.101785277
0.102344223,0.102785444
0.103343908,0.103784296
0.104343834,0.104786092
0.105343334,0.105784999
0.106344,0.106786148
0.107343445,0.107785036
0.108343815,0.10878424
0.10934376,0.109784999
0.110344149,0.11078774
0.111343704,0.111785314
0.112346426,0.112785629
0.113344,0.113785499
0.114343352,0.114788203
0.115344,0.115786833
0.116345834,0.116787074
0.117344593,0.117786481
0.118344537,0.118786703
0.119343945,0.119785629
0.120344074,0.120786462
0.121344019,0.121787314
0.122344574,0.122786574
0.123344667,0.123786536
0.124344352,0.124785777
0.12534376,0.125788499
0.126344,0.126787074
0.127344982,0.127787629
0.128343815,0.128785666
0.129344204,0.12978587
0.130343704,0.130786944
0.131343797,0.131787277
0.132344315,0.132787203
0.133344297,0.133786944
0.134344519,0.134785759
0.13534426,0.135785203
0.136343445,0.136785777
0.137343723,0.137785611
